VCNUMBER,VCNAME,MidDate,Year,Month,Mid,MeanTemp,Season
78,Peeblesshire,1941-07-16,1941,7,16,12.09401798248291,Summer
78,Peeblesshire,1941-10-16,1941,10,16,7.803686141967773,Autumn
78,Peeblesshire,1942-01-16,1942,1,16,0.5047094225883484,Winter
78,Peeblesshire,1942-04-16,1942,4,16,5.3126654624938965,Spring
78,Peeblesshire,1942-07-16,1942,7,16,12.117465019226074,Summer
78,Peeblesshire,1942-10-16,1942,10,16,6.901540756225586,Autumn
78,Peeblesshire,1943-01-16,1943,1,16,3.239531993865967,Winter
78,Peeblesshire,1943-04-16,1943,4,16,6.605380535125732,Spring
78,Peeblesshire,1943-07-16,1943,7,16,11.840204238891602,Summer
78,Peeblesshire,1943-10-16,1943,10,16,7.30000114440918,Autumn
78,Peeblesshire,1944-01-16,1944,1,16,2.397406816482544,Winter
78,Peeblesshire,1944-04-16,1944,4,16,5.986361503601074,Spring
78,Peeblesshire,1944-07-16,1944,7,16,12.34693717956543,Summer
78,Peeblesshire,1944-10-16,1944,10,16,6.005168914794922,Autumn
78,Peeblesshire,1945-01-16,1945,1,16,1.4358434677124023,Winter
78,Peeblesshire,1945-04-16,1945,4,16,6.939489841461182,Spring
78,Peeblesshire,1945-07-16,1945,7,16,12.590550422668457,Summer
78,Peeblesshire,1945-10-16,1945,10,16,8.456714630126953,Autumn
78,Peeblesshire,1946-01-16,1946,1,16,2.096870183944702,Winter
78,Peeblesshire,1946-04-16,1946,4,16,6.012542247772217,Spring
78,Peeblesshire,1946-07-16,1946,7,16,11.503732681274414,Summer
78,Peeblesshire,1946-10-16,1946,10,16,7.423828601837158,Autumn
78,Peeblesshire,1947-01-16,1947,1,16,-0.5055851936340332,Winter
78,Peeblesshire,1947-04-16,1947,4,16,4.573049068450928,Spring
78,Peeblesshire,1947-07-16,1947,7,16,13.361549377441406,Summer
78,Peeblesshire,1947-10-16,1947,10,16,7.788710117340088,Autumn
78,Peeblesshire,1948-01-16,1948,1,16,2.1545984745025635,Winter
78,Peeblesshire,1948-04-16,1948,4,16,6.574336051940918,Spring
78,Peeblesshire,1948-07-16,1948,7,16,11.717426300048828,Summer
78,Peeblesshire,1948-10-16,1948,10,16,7.630769729614258,Autumn
78,Peeblesshire,1949-01-16,1949,1,16,3.10500431060791,Winter
78,Peeblesshire,1949-04-16,1949,4,16,6.070335865020752,Spring
78,Peeblesshire,1949-07-16,1949,7,16,12.897397994995117,Summer
78,Peeblesshire,1949-10-16,1949,10,16,8.589427947998047,Autumn
78,Peeblesshire,1950-01-16,1950,1,16,2.3627805709838867,Winter
78,Peeblesshire,1950-04-16,1950,4,16,5.805454730987549,Spring
78,Peeblesshire,1950-07-16,1950,7,16,12.585116386413574,Summer
78,Peeblesshire,1950-10-16,1950,10,16,6.430302619934082,Autumn
78,Peeblesshire,1951-01-16,1951,1,16,0.06199193373322487,Winter
78,Peeblesshire,1951-04-16,1951,4,16,3.709353446960449,Spring
78,Peeblesshire,1951-07-16,1951,7,16,11.704373359680176,Summer
78,Peeblesshire,1951-10-16,1951,10,16,8.128625869750977,Autumn
78,Peeblesshire,1952-01-16,1952,1,16,1.0862689018249512,Winter
78,Peeblesshire,1952-04-16,1952,4,16,6.878276348114014,Spring
78,Peeblesshire,1952-07-16,1952,7,16,12.089726448059082,Summer
78,Peeblesshire,1952-10-16,1952,10,16,5.329979419708252,Autumn
78,Peeblesshire,1953-01-16,1953,1,16,2.074733018875122,Winter
78,Peeblesshire,1953-04-16,1953,4,16,6.0219292640686035,Spring
78,Peeblesshire,1953-07-16,1953,7,16,12.358194351196289,Summer
78,Peeblesshire,1953-10-16,1953,10,16,8.426029205322266,Autumn
78,Peeblesshire,1954-01-16,1954,1,16,1.8150031566619873,Winter
78,Peeblesshire,1954-04-16,1954,4,16,5.55722713470459,Spring
78,Peeblesshire,1954-07-16,1954,7,16,11.085261344909668,Summer
78,Peeblesshire,1954-10-16,1954,10,16,7.17704439163208,Autumn
78,Peeblesshire,1955-01-16,1955,1,16,0.8727543354034424,Winter
78,Peeblesshire,1955-04-16,1955,4,16,4.890629768371582,Spring
78,Peeblesshire,1955-07-16,1955,7,16,13.285870552062988,Summer
78,Peeblesshire,1955-10-16,1955,10,16,7.604363918304443,Autumn
78,Peeblesshire,1956-01-16,1956,1,16,0.7518879771232605,Winter
78,Peeblesshire,1956-04-16,1956,4,16,5.668807506561279,Spring
78,Peeblesshire,1956-07-16,1956,7,16,10.856179237365723,Summer
78,Peeblesshire,1956-10-16,1956,10,16,7.494879722595215,Autumn
78,Peeblesshire,1957-01-16,1957,1,16,2.9033589363098145,Winter
78,Peeblesshire,1957-04-16,1957,4,16,6.682875633239746,Spring
78,Peeblesshire,1957-07-16,1957,7,16,12.425477981567383,Summer
78,Peeblesshire,1957-10-16,1957,10,16,7.202131271362305,Autumn
78,Peeblesshire,1958-01-16,1958,1,16,1.4429042339324951,Winter
78,Peeblesshire,1958-04-16,1958,4,16,4.378357887268066,Spring
78,Peeblesshire,1958-07-16,1958,7,16,12.159192085266113,Summer
78,Peeblesshire,1958-10-16,1958,10,16,8.268457412719727,Autumn
78,Peeblesshire,1959-01-16,1959,1,16,0.7863479852676392,Winter
78,Peeblesshire,1959-04-16,1959,4,16,6.879964351654053,Spring
78,Peeblesshire,1959-07-16,1959,7,16,13.057853698730469,Summer
78,Peeblesshire,1959-10-16,1959,10,16,8.827178001403809,Autumn
78,Peeblesshire,1960-01-16,1960,1,16,1.7814635038375854,Winter
78,Peeblesshire,1960-04-16,1960,4,16,6.826177597045898,Spring
78,Peeblesshire,1960-07-16,1960,7,16,12.457307815551758,Summer
78,Peeblesshire,1960-10-16,1960,10,16,7.268871784210205,Autumn
78,Peeblesshire,1961-01-16,1961,1,16,1.9629194736480713,Winter
78,Peeblesshire,1961-04-16,1961,4,16,7.040376663208008,Spring
78,Peeblesshire,1961-07-16,1961,7,16,11.512849807739258,Summer
78,Peeblesshire,1961-10-16,1961,10,16,7.81539249420166,Autumn
78,Peeblesshire,1962-01-16,1962,1,16,1.2941151857376099,Winter
78,Peeblesshire,1962-04-16,1962,4,16,4.228649139404297,Spring
78,Peeblesshire,1962-07-16,1962,7,16,11.058756828308105,Summer
78,Peeblesshire,1962-10-16,1962,10,16,6.881021976470947,Autumn
78,Peeblesshire,1963-01-16,1963,1,16,-1.3947943449020386,Winter
78,Peeblesshire,1963-04-16,1963,4,16,5.451033592224121,Spring
78,Peeblesshire,1963-07-16,1963,7,16,11.579666137695313,Summer
78,Peeblesshire,1963-10-16,1963,10,16,7.424582481384277,Autumn
78,Peeblesshire,1964-01-16,1964,1,16,2.0302093029022217,Winter
78,Peeblesshire,1964-04-16,1964,4,16,6.0035223960876465,Spring
78,Peeblesshire,1964-07-16,1964,7,16,11.730182647705078,Summer
78,Peeblesshire,1964-10-16,1964,10,16,7.190656661987305,Autumn
78,Peeblesshire,1965-01-16,1965,1,16,0.9077649116516113,Winter
78,Peeblesshire,1965-04-16,1965,4,16,5.372617244720459,Spring
78,Peeblesshire,1965-07-16,1965,7,16,11.099031448364258,Summer
78,Peeblesshire,1965-10-16,1965,10,16,6.361706733703613,Autumn
78,Peeblesshire,1966-01-16,1966,1,16,1.1704448461532593,Winter
78,Peeblesshire,1966-04-16,1966,4,16,5.4092230796813965,Spring
78,Peeblesshire,1966-07-16,1966,7,16,11.692235946655273,Summer
78,Peeblesshire,1966-10-16,1966,10,16,6.944182395935059,Autumn
78,Peeblesshire,1967-01-16,1967,1,16,2.378072500228882,Winter
78,Peeblesshire,1967-04-16,1967,4,16,5.437427997589111,Spring
78,Peeblesshire,1967-07-16,1967,7,16,12.050633430480957,Summer
78,Peeblesshire,1967-10-16,1967,10,16,7.154965400695801,Autumn
78,Peeblesshire,1968-01-16,1968,1,16,1.1631531715393066,Winter
78,Peeblesshire,1968-04-16,1968,4,16,5.146570205688477,Spring
78,Peeblesshire,1968-07-16,1968,7,16,11.876203536987305,Summer
78,Peeblesshire,1968-10-16,1968,10,16,7.920652389526367,Autumn
78,Peeblesshire,1969-01-16,1969,1,16,0.7373270988464355,Winter
78,Peeblesshire,1969-04-16,1969,4,16,4.198957443237305,Spring
78,Peeblesshire,1969-07-16,1969,7,16,12.76353931427002,Summer
78,Peeblesshire,1969-10-16,1969,10,16,7.700573444366455,Autumn
78,Peeblesshire,1970-01-16,1970,1,16,0.6431082487106323,Winter
78,Peeblesshire,1970-04-16,1970,4,16,5.007274150848389,Spring
78,Peeblesshire,1970-07-16,1970,7,16,12.4523344039917,Summer
78,Peeblesshire,1970-10-16,1970,10,16,7.702916145324707,Autumn
78,Peeblesshire,1971-01-16,1971,1,16,2.5611581802368164,Winter
78,Peeblesshire,1971-04-16,1971,4,16,5.6581268310546875,Spring
78,Peeblesshire,1971-07-16,1971,7,16,11.72246265411377,Summer
78,Peeblesshire,1971-10-16,1971,10,16,7.898585319519043,Autumn
78,Peeblesshire,1972-01-16,1972,1,16,3.034139394760132,Winter
78,Peeblesshire,1972-04-16,1972,4,16,5.916377067565918,Spring
78,Peeblesshire,1972-07-16,1972,7,16,11.221785545349121,Summer
78,Peeblesshire,1972-10-16,1972,10,16,6.721869945526123,Autumn
78,Peeblesshire,1973-01-16,1973,1,16,2.42008638381958,Winter
78,Peeblesshire,1973-04-16,1973,4,16,5.544127464294434,Spring
78,Peeblesshire,1973-07-16,1973,7,16,12.471283912658691,Summer
78,Peeblesshire,1973-10-16,1973,10,16,6.717398166656494,Autumn
78,Peeblesshire,1974-01-16,1974,1,16,2.958862543106079,Winter
78,Peeblesshire,1974-04-16,1974,4,16,5.5860066413879395,Spring
78,Peeblesshire,1974-07-16,1974,7,16,11.448513984680176,Summer
78,Peeblesshire,1974-10-16,1974,10,16,5.949366569519043,Autumn
78,Peeblesshire,1975-01-16,1975,1,16,3.6643738746643066,Winter
