Individual,Taxon name,Location,LocationType,Month,Year,Sex,Wing_Length,Forewing_Area,Abdomen_Width,Abdomen_Length
6,Erynnis tages,Hertfordshire,VC,5,1947,NA,12.408,58.974,2.031,5.2
53,Erynnis tages,Hampshire,UA,5,1947,NA,12.528,63.781,2.014,5.615
54,Erynnis tages,Kent,UA,5,1947,NA,12.811,58.034,2.17,5.666
71,Erynnis tages,Kent,UA,5,1947,NA,12.233,58.72,2.669,4.932
102,Thymelicus sylvestris,Hertfordshire,VC,6,1947,male,12.944,59.034,2.012,6.268
103,Thymelicus sylvestris,Essex,UA,7,1947,female,14.758,69.171,2.724,6.789
104,Thymelicus sylvestris,Hertfordshire,VC,6,1947,male,12.568,56.476,1.99,6.643
58,Erynnis tages,Kent,UA,5,1948,NA,11.661,49.143,1.894,5.577
59,Erynnis tages,Middlesex,VC,5,1948,NA,11.436,48.288,1.81,3.981
67,Erynnis tages,Kent,UA,5,1948,NA,12.232,55.667,2.359,5.327
1,Pyrgus malvae,Kent,UA,5,1948,NA,12.037,52.325,2.205,5.448
25,Pyrgus malvae,Middlesex,VC,5,1948,NA,10.424,43.688,1.986,5.321
70,Hesperia comma,East Sussex,VC,8,1948,male,13.107,59.201,2.367,5.008
88,Thymelicus sylvestris,Kent,UA,7,1948,female,13.484,61.512,2.412,5.83
95,Thymelicus sylvestris,West Sussex,VC,6,1948,male,12.956,61.043,2.158,7.083
88,Pyrgus malvae,Devon,UA,4,1949,NA,11.479,50.6,2.263,4.475
107,Pyrgus malvae,Surrey,VC,5,1949,NA,10.907,46.887,2.165,5.624
110,Pyrgus malvae,Kent,UA,6,1949,NA,11.688,46.739,2.099,5.69
63,Thymelicus sylvestris,Hertfordshire,VC,7,1949,male,11.996,50.657,1.865,6.204
66,Erynnis tages,Dumfriesshire,VC,6,1951,NA,12.528,58.118,2.392,4.94
69,Hesperia comma,Surrey,VC,8,1951,male,14.063,65.278,2.594,7.002
84,Hesperia comma,Kent,UA,8,1951,female,14.504,73.587,3.487,7.311
100,Thymelicus sylvestris,Surrey,VC,7,1951,male,12.434,61.579,1.949,6.037
85,Thymelicus sylvestris,Devon,UA,7,1952,male,12.242,59.113,1.991,6.057
79,Hesperia comma,Surrey,VC,8,1953,female,13.993,68.43,2.726,5.576
83,Hesperia comma,Kent,UA,8,1953,male,14.336,68.979,2.108,5.446
108,Pyrgus malvae,Hampshire,UA,5,1954,NA,11.892,51.089,2.148,4.888
109,Pyrgus malvae,Hampshire,UA,5,1954,NA,10.67,41.772,2.117,4.673
94,Hesperia comma,Kent,UA,8,1954,male,14.2,65.917,2.205,5.982
94,Thymelicus sylvestris,East Sussex,VC,7,1954,male,13.039,56.399,2.201,6.998
45,Erynnis tages,Hampshire,UA,6,1957,NA,12.5,62.29,2.237,4.563
55,Erynnis tages,Oxfordshire,VC,6,1957,NA,10.71,48.327,1.997,4.751
56,Erynnis tages,Berkshire,VC,6,1958,NA,12.973,57.14,2.531,4.888
57,Erynnis tages,Berkshire,VC,6,1958,NA,11.899,57.737,1.859,5.508
65,Erynnis tages,Oxfordshire,VC,6,1958,NA,11.568,52.486,1.774,4.131
95,Hesperia comma,Surrey,VC,8,1958,male,13.269,59.395,2.496,7.067
85,Hesperia comma,Surrey,VC,7,1960,female,14.075,69.559,2.983,6.209
19,Erynnis tages,Hampshire,UA,5,1962,NA,12.765,63.494,2.117,4.817
48,Erynnis tages,Hampshire,UA,5,1962,NA,13.029,64.211,2.083,5.424
52,Erynnis tages,Hampshire,UA,5,1962,NA,12.485,64.2,2.651,4.991
94,Pyrgus malvae,East Sussex,VC,6,1963,NA,11.403,46.471,2.101,5.295
60,Erynnis tages,Isle of Wight,VC,5,1964,NA,11.673,55.024,2.203,5.267
68,Erynnis tages,Surrey,VC,6,1964,NA,11.651,56.73,2.065,4.873
69,Erynnis tages,Isle of Wight,VC,5,1964,NA,12.6,59.534,2.014,5.749
91,Hesperia comma,Surrey,VC,7,1964,male,13.621,63.42,2.006,5.527
93,Thymelicus sylvestris,Hampshire,UA,7,1964,female,12.163,54.514,2.451,5.28
49,Erynnis tages,Hampshire,UA,5,1965,NA,11.855,58.529,1.945,4.01
51,Erynnis tages,Hampshire,UA,5,1965,NA,11.835,60.493,2.74,3.913
61,Erynnis tages,Surrey,VC,5,1965,NA,12.517,60.065,2.117,5.938
3,Pyrgus malvae,Surrey,VC,5,1965,NA,11.515,52.829,2.378,5.338
101,Pyrgus malvae,Hampshire,UA,5,1965,NA,11.011,45.548,2.164,4.705
105,Pyrgus malvae,Hampshire,UA,6,1965,NA,10.878,44.816,2.049,4.46
103,Hesperia comma,Buckinghamshire,VC,8,1965,male,13.511,59.121,2.569,7.548
109,Hesperia comma,Buckinghamshire,VC,8,1965,female,15.112,77.889,3.549,7.31
104,Hesperia comma,Buckinghamshire,VC,8,1966,male,13.845,61.33,2.589,7.529
108,Hesperia comma,Buckinghamshire,VC,8,1966,male,14.542,67.91,2.47,7.589
50,Erynnis tages,Hampshire,UA,5,1967,NA,11.968,54.659,2.032,5.306
95,Pyrgus malvae,Surrey,VC,5,1967,NA,11.852,52.234,2.23,6.001
60,Thymelicus sylvestris,Hampshire,UA,7,1967,female,14.3,70.487,2.851,6.495
81,Thymelicus sylvestris,Hampshire,UA,7,1967,female,13.54,58.69,2.892,6.496
97,Thymelicus sylvestris,Hampshire,UA,7,1967,female,14.228,72.967,3.08,7.166
103,Pyrgus malvae,Hampshire,UA,5,1968,NA,11.24,48.437,1.967,4.705
